video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=9PxgcUfY7LE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,Report from Standing Rock: 100+ Militarized Police Deployed Against Native American Water Protectors,58K,9 years,"http://democracynow.org - On Saturday, hundreds of people temporarily stopped work at multiple construction sites at the site of ...",2026-01-20 16:29:48.728219
/watch?v=mVlx_32dKuU&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@KFYR-TV,KFYR-TV,Dakota Governors meet with Standing Rock Sioux Tribe,340,9 months,Dakota Governors meet with Standing Rock Sioux Tribe For more Local News from KFYR: https://www.kfyrtv.com/ For more ...,2026-01-20 16:29:48.729591
/watch?v=qJZ1-LAFOTo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@Vox,Vox,"The fight over the Dakota Access Pipeline, explained",475K,9 years,How Native Americans and environmentalists stopped a $3.8 billion oil pipeline. Subscribe to our channel! http://goo.gl/0bsAjO ...,2026-01-20 16:29:48.731198
/watch?v=OGJXnfMlwH8&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQlPCgGHKiGM7w%3D%3D,/@KXNewsND,KX News,Standing Rock on DAPL,144,5 years,Standing Rock on DAPL.,2026-01-20 16:29:48.732902
/watch?v=_rt8v9Qr0ZA&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ajplus,AJ+,How Standing Rock Is A Blueprint For Protesters,4.7K,9 years,AJ+ presenter Ahmed Shihab-Eldin gives his opinion on why those opposing the Dakota Access Pipeline are a model for other ...,2026-01-20 16:29:48.734294
/shorts/M5uTM3Kiz-s,/@studyhall,Study Hall ,What Happened at Standing Rock?,2.9K,1 year,In 2016 thousands of people camped in freezing temperature for months to protest a pipeline that would potentially contaminate ...,2026-01-20 16:29:56.486242
/watch?v=Vr2zE69jIcQ&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBCTheNational,CBC News: The National,Standing Rock and Sioux Nation,11K,9 years,The outcome of the Dakota Access pipeline protests will affect the Sioux Nation the most Click here for the full story: ...,2026-01-20 16:29:56.487652
/watch?v=Xf1OESNrsQE&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@AssociatedPress,Associated Press,Deadline Looms for Standing Rock Protesters,4.3K,9 years,Authorities in North Dakota have said they'll move away from a key bridge near the main Dakota Access oil pipeline protest camp ...,2026-01-20 16:29:56.489590
/watch?v=p_bv88cpJdc&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@aljazeeraenglish,Al Jazeera English,Standing Rock: Protests over Dakota pipeline slowly fading,5.2K,8 years,Protesters are standing their ground at the site of a proposed oil pipeline in the US Midwest. But their numbers are shrinking.,2026-01-20 16:29:56.491502
/watch?v=YYcl7AKSjxI&pp=ygUNc3RhbmRpbmcgcm9ja9IHCQlPCgGHKiGM7w%3D%3D,/@DemocracyNow,Democracy Now!,"Standing Rock Special: Dakota Excess Pipeline? Media & Water Protectors Face Strip Searches, Jail",13K,9 years,http://democracynow.org - Today we're revisiting Democracy Now! reports on the ongoing standoff at Standing Rock in North ...,2026-01-20 16:29:56.492920
/watch?v=xulmHwUJCdY&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@NBCNews,NBC News,Protesters Endure Blizzard To Remain At Standing Rock | NBC News,7.2K,9 years,Protesters vow to stay in the camp near Cannon Ball to continue their fight against the Dakota Pipeline despite the frigid ...,2026-01-20 16:29:56.495127
/watch?v=mD3VvWKItGU&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@DemocracyNow,Democracy Now!,"As Thousands of Vets Descend on Standing Rock, U.S. Army Backs Down and Halts Pipeline Construction",25K,9 years,http://democracynow.org - The announcement from the U.S. Army Corps of Engineers that it would deny a permit to Energy Party ...,2026-01-20 16:29:56.496414
/watch?v=AZvm9Y-KQyI&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBCTheNational,CBC News: The National,Historic decision at Standing Rock,1.5K,9 years,The CBC's Karen Pauls reports from South Dakota as construction on the Dakota Access Pipeline is halted Click here for the full ...,2026-01-20 16:29:56.497716
