video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/H98uKEVAELQ,/@dataorbit27,Data Orbit,When Protests Turn Deadly: A Heart-Wrenching Reality,2.8K,4 months,"Witness the gripping account of a young activist torn between fear and conviction. Amidst the No Kings protest in Utah, dedicated ...",2026-01-20 17:20:06.084231
/watch?v=EmFlBWlKt0Q&t=50s&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@fox2stlouis,FOX 2 St. Louis,Krewson discusses protests,232,5 years,Krewson discusses protests.,2026-01-20 17:20:06.086200
/shorts/Gy3P5Msp8Ks,/@nypost,New York Post,Conservative Influencer Attacked by Protesters in Minneapolis #shorts,34K,1 day,Leftwing protesters attacked and allegedly stabbed pardoned Jan. 6 rioter and Florida Senate candidate Jake Lang Saturday after ...,2026-01-20 17:20:06.087666
/shorts/QZRObi_sA-I,/@Wqadnews8,WQAD News 8,Protesters gather in Denmark for a 'Hands off Greenland' display,No,2 days,Protesters gathered in Denmark for a 'Hands off Greenland' display.,2026-01-20 17:20:06.090473
/shorts/PmBBZaGnu-E,/@KSDK,KSDK News,Protest in Ballwin over killing of demonstrators in Iran,2.2K,2 days,Nearly 100 people braved the cold and snowy conditions Saturday to protest about the killings of demonstrators in Iran and the cut ...,2026-01-20 17:20:06.094870
/watch?v=AyvGGTzojIg&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@KSDK,KSDK News,Pro-ICE rally in Minneapolis,12K,2 days,Multiple demonstrations are underway across Minneapolis today. A large gathering of pro-ICE protesters are rallying in front of ...,2026-01-20 17:20:06.096259
/shorts/jUE1F7z_VO4,/@QuickDiplomat,Quick Diplomat,Kaitlin Bennett Confronts Creepy Interaction at Protest,39K,6 days,Observers are left questioning the nature of political discourse after witnessing this tense exchange. A chaotic scene unfolded as ...,2026-01-20 17:20:06.098626
/shorts/hm6PIKiYPx0,/@Thinkingwhat,Thinking What,Protesters Get ANNIHILATED!￼,1.4M,3 months,SUBSCRIBE To My YOUTUBE Channel www.youtube.com/@Thinkingwhat Channel for daily videos from the Thinking What.,2026-01-20 17:20:06.100047
/shorts/SuKgAjd1-Qc,/@washingtontimes,The Washington Times,ICE official confronted by protestors in CHURCH #ice #minnesota #protest,24K,20 hours,"https://www.washingtontimes.com The Washington Times delivers trusted, hard-hitting journalism and insightful analysis on ...",2026-01-20 17:20:06.101437
/shorts/cvNJWrCGf5I,/@HTBITYclips,HTBITY Clips,I’m All for Protests… But This Ain’t That 🚫🪧,513,5 months,I've always supported people speaking up — but there's a difference between a protest and pure chaos. One fights for something.,2026-01-20 17:20:06.103205
/watch?v=qQIqJFVjNbU&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@Reuters,Reuters,Ottawa protests: police will clear protesters out soon,26K,3 years,Police warned protesters occupying central Ottawa of 'imminent' action to clear them from the capital and end a crisis that ...,2026-01-20 17:20:06.104582
/shorts/-5pFru1OMwU,/@cbcbritishcolumbia,CBC British Columbia,Thousands march through Downtown Vancouver in solidarity with the people of Iran,5.2K,1 day,Thousands of supporters marched down West Georgia in Downtown Vancouver on Sunday afternoon to show their support for ...,2026-01-20 17:20:06.106388
/shorts/DH2EzYoNn_M,/@CGTNEurope,CGTN Europe,Anti-Ice protestors outnumber US far-right influencer’s rally in Minneapolis,3.2K,1 day,Clashes broke out in downtown Minneapolis at the weekend during an immigration rally as anti-ICE protesters confronted a group ...,2026-01-20 17:20:13.422875
/watch?v=1__gYjrlIQM&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@cnnnews18,CNN-News18,"Minneapolis Protest LIVE | Protestors Demand Justice For Renee Good, Call For ICE Removal | N18G",5K,Streamed 1 day,Postal union members and supporters are holding a rally and march in Minneapolis to demand that ICE agents stay off postal ...,2026-01-20 17:20:13.424958
/watch?v=CoWFeMPniLo&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@RebelHQ,Rebel HQ,Kellyanne Conway Outraged At Left-Wing Protests,10K,3 years,Kellyanne Conway has conveniently found her outrage. Max Burns breaks it down. Leave a comment with your thoughts below!,2026-01-20 17:20:13.428374
/watch?v=3208byvmJqU&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@WION,WION,Minneapolis Protest: Anti-Ice Protesters Clash with Far-Right Group | WION NEWS,512,2 days,Hundreds of anti-ICE protesters in Minneapolis chased off a small group of far-right activists who had vowed to march on a ...,2026-01-20 17:20:13.432086
/shorts/QcbUvB2SE4Y,/@CBSNews,CBS News,Protesters clash at UCLA #shorts,4K,1 year,news #israelhamaswar #protest.,2026-01-20 17:20:13.434133
/watch?v=qyQQCTZsk7s&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@WION,WION,Minneapolis Protest: Far‑Right Activists Ousted by Anti‑ICE Demonstrators in Minneapolis | WION NEWS,1.5K,2 days,Hundreds of anti‑ICE protesters in Minneapolis chased away a small far‑right group planning to march through an immigrant ...,2026-01-20 17:20:13.437157
/watch?v=AWbwRAS4CgM&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@WION,WION,Minneapolis Protest: Tensions Flare in Minneapolis as Protesters Push Back Far‑Right Activists | DNA,508,2 days,Hundreds of anti‑ICE demonstrators in Minneapolis forced a small far‑right group to retreat during a Saturday rally aimed at ...,2026-01-20 17:20:13.444605
/shorts/hIVYZU6B2Rc,/@Bloomberg-News,Bloomberg News,Senators Wary of Sending National Guard to Quell Campus Protests,24K,1 year,US senators dismissed House Speaker Mike Johnson's suggestion to send the National Guard to college campuses to quell ...,2026-01-20 17:20:13.447034
/shorts/o_xpxOkDzxE,/@Reuters,Reuters,Activists project Trump onto ski slope at Davos | REUTERS,20K,15 hours,Protesters took aim at the World Economic Forum by projecting a giant image of U.S. President Donald Trump onto a Davos ski ...,2026-01-20 17:20:13.448494
/watch?v=RaXt5B2J_8Y&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@livemint,Mint,Minneapolis Protest LIVE: Postal Union & Protesters Lead Anti-ICE Rally Across the City | Renee Good,6.2K,Streamed 1 day,LIVE NOW: A major legal battle is unfolding after an ICE agent fatally shot a woman in Minneapolis during a federal immigration ...,2026-01-20 17:20:13.453025
/watch?v=TLkYc5CiBD0&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@CBCNews,CBC News,Iran’s Ayatollah Ali Khamenei blames Trump for inciting anti-government protests,42K,2 days,"Iran's Supreme Leader, Ayatollah Ali Khamenei, has acknowledged that thousands of people were killed during anti-government ...",2026-01-20 17:20:13.456397
/shorts/XmxUTNGdweM,/@WAVancouverToday,WAVancouverToday,"A dozen protesters gathered outside Rep. Marie Gluesenkamp Perez's office, questioning her stance on",No,2 days,"A dozen protesters gathered outside Rep. Marie Gluesenkamp Perez's office, questioning her stance on the fatal shooting of ...",2026-01-20 17:20:13.463185
/watch?v=zRsuJFZ3cQg&pp=ygURcWxheW9xdW90IHByb3Rlc3TSBwkJTwoBhyohjO8%3D,/@cnnnews18,CNN-News18,Greenland Protest LIVE | Demonstrators March In Nuuk Against Trump's Greenland Control Plan | N18G,2K,Streamed 1 day,Protesters joined a march in Nuuk opposing alleged US annexation plans. The demonstration began at Katerittarfik Amisut and ...,2026-01-20 17:20:13.464487
/watch?v=udIjddNAkgc&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@cnnnews18,CNN-News18,LIVE Minnesota Protest Updates | Protesters Storm Minnesota Church Amid ICE Tensions | Trump | N18G,2.9K,Streamed 11 hours,Anti-ICE protesters disrupted services and shouted down parishioners inside a Christian church in Minnesota over the weekend ...,2026-01-20 17:20:13.466354
/watch?v=nNAuE_jbeiM&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@CBCNews,CBC News,Vancouver protest against far-right rally draws thousands,8.3K,8 years,More than 4000 people showed up at Vancouver City Hall to protest against a far-right rally on Saturday To read more: ...,2026-01-20 17:20:13.467674
/watch?v=-E7LgwM2Zmc&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@RebelHQ,Rebel HQ,Protesters Crash Democratic Party Event,10K,4 years,The Democratic party is failing you. Benjamin Carollo breaks it down. Follow Benjamin on Twitter ...,2026-01-20 17:20:13.470220
/watch?v=0kz-qg_7fyA&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@CTVNews,CTV News,Protests take place outside legislative building,529,2 months,"Two protests were held outside of the legislative building on Wednesday, the same day the throne speech was delivered.",2026-01-20 17:20:13.471803
/watch?v=vu7dJ4m6GQg&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@Firstpost,Firstpost,"Anti-ICE Protesters Storm Minnesota Church, Trigger Federal Probe | Firstpost America | N18G",249,53 minutes,"Anti-ICE protesters disrupted a Sunday church service in St. Paul, Minnesota, after storming into Cities Church during prayers.",2026-01-20 17:20:20.890805
/watch?v=YidvC81l1lA&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@KTVN2NewsNevada,KTVN 2 News Nevada,DOJ vows to press charges after protesters disrupted church service,33K,16 hours,New CBS News polling shows many Americans do not approve of how ICE is conducting its operation in Minnesota.,2026-01-20 17:20:20.892152
/watch?v=FYZxzTfKBnY&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@aptnnews,APTN News,"APTN National News: January 19, 2026 – Protest for Greenland, ICE detaining Native Americans",586,16 hours,Tonight on APTN National News: Nunavummiut held a protest in Iqaluit to show their solidarity with Greenland over threats of ...,2026-01-20 17:20:20.893670
/shorts/5eaQ-8zn1gc,/@QuickDiplomat,Quick Diplomat,Candidate Refuses to Disavow Protester Actions,5.3K,16 hours,The pressure mounted on this candidate when activists demanded a full disavowal of controversial actions from a recent protest.,2026-01-20 17:20:20.895091
/watch?v=pG3zy9EAUg4&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@KGWNews8,KGW News,Groups converge downtown for 'ICE Out of Portland' protest,1.6K,2 days,"Groups gathered at Terry Shrunk Plaza to stand against the Trump administration, the recent federal agent shootings, and to call ...",2026-01-20 17:20:20.896327
/watch?v=Ct2Tk8ULyFs&pp=ygURcWxheW9xdW90IHByb3Rlc3Q%3D,/@CTVNews,CTV News,Police clear protesters from Vancouver Island logging blockade,5K,1 month,Subscribe to CTV News to watch more videos: https://www.youtube.com/ctvnews Connect with CTV News: For live updates and ...,2026-01-20 17:20:20.897943
/shorts/g8OjCbF8Bxs,/@KVALNews,KVAL News,"City residents react to escalating protests in Los Angeles, brace for protest",596,7 months,"Eugene residents are reacting to the escalating protests in Los Angeles, as President Trump sends Marines and the National ...",2026-01-20 17:20:20.899273
